Dataset,r,c0,c1
Adenine_10,2.0731774253516027,2.4928165535090656e-05,28.804040231158616
D Glucosamine_10,21.00538368597948,5.19885964064773,-1.93083086858666
L Arginine_10,47.93592323334399,5.842790495510288,-2.1533299875129823
N- acetyl D Glucosamine_10,28.57684604031967,1.9380141544609868,0.6745140653810117
D Mannose_10,16.514684197432985,4.45001779194442,-1.6448341665630588
L Arabinose_10,101.08313491699927,6.077483867149913,-2.236745525658827
D Xylose_10,80.27618141176781,5.933818903201971,-2.1841212796407796
Adenosine.1_10,78.0765889169669,5.616199240939411,-2.0671375313145606
Lactate_10,22.817308544639637,4.811558645699874,-1.7767714429626023
R.S.18 D-Serine_18,44.94559035398746,5.538673410878851,-2.0408030613359265
R.S.18 Histamine_18,13.976125757743244,4.358650442943855,-1.608695955735501
R.S.18 Guanidine_18,70.15338987653048,5.9542533881327735,-2.19204225966308
R.S.18 Sodium Succinate_18,16.718241223960582,4.786190739764836,-1.7692752341218265
R.S.18 L-Glutathione_18,23.250536630432357,4.301662791274473,-1.584005485614414
R.S.18 L-Histidine_18,26.631585166973174,4.524182794910047,-1.6669819069041047
R.S.18 Cytidine_18,11.973455062478415,3.85258975746872,-1.422025064046987
R.S.18 Cytosine_18,19.12892048263809,4.610929948463064,-1.7022686746790958
R.S.18 L-Arginine_18,20.28788994412875,4.366927491477106,-1.6094159566642412
R.S.18 Sodium Pyruvate_18,30.556345193887346,5.473702680043793,-2.013698037081618
R.S.18 D-Salicin_18,21.451013420685854,4.802477372162175,-1.7709213076253394
R.S.18 Adenosine_18,48.456470079030346,5.335872036892513,-1.964611527372333
R.S.18 Adenosine.1_18,23.15134585737163,4.554552843495699,-1.6790888947466285
R.S.18 D-Fructose_18,1.1629676748114173,9.904417279359829e-05,13.743796240083778
R.S.19 Glycine.1_19,8.742042005248527,2.5778563228477114,-0.7939625245176045
R.S.19 L-Pyro-Glutamate.1_19,9.653011235263254,2.9757310913085417,-1.0911702439792452
R.S.19 Thiourea_19,13.51192133713149,4.41170724732163,-1.622572284131451
R.S.19 L-Glutathione_19,8.628439132193435,2.861630351451546,-1.045600713492275
R.S.19 Histamine_19,12.726853215623995,3.3029116788356547,-1.214650076674213
R.S.19 L-Arginine_19,12.988966625349775,3.2922388626295693,-1.1061668130072193
H3,64.90637105908664,6.8098281198783015,-2.509459497327416
D6,60.38047140021859,4.796319419738488,-1.7649855537860446
C7,52.667351667495744,4.284861560882182,-1.5766279924136275
F3,26.162692040287105,4.557521604792049,-1.679100254194605
B11,27.88520719985543,5.102276111729992,-1.8811501309093452
B12,8.54185107355629,2.942790001289742,-1.0845162023932824
E12,48.992164922877286,5.081488275724058,-1.8703237154798324
A3,43.22572043487869,4.533197553944947,-1.6682545862810594
G9,50.58025750975646,5.527466723354373,-1.9406357259001221
C11,47.49782281759305,4.397940816101193,-1.618307714390702
D5,34.66158639890702,4.924244132468442,-1.8139971282104312
C5,34.8861678644584,4.512931751585039,-1.661640487791357
D8,21.84049403065513,4.674569415532352,-1.7296430555974411
A6,17.24921557043319,3.753757291668736,-1.3824552991831478
B4,17.498383255120295,4.673728362486402,-1.6891216965432863
"R.S.6 4 Hydroxy-Phenylacetate, 0.3%_6",38.59413452097414,5.88091222549558,-2.1402590508159323
"R.S.6 D-Trehalose, 0.3%_6",36.01899785334282,4.228315045428838,-1.5559127760741236
"R.S.6 D-Arabitol, 0.3%_6",29.4209545703687,4.429755980412322,-1.6298376435260165
"R.S.6 Alpha-D-Lactose, 0.3%_6",17.722898681392234,3.842124301400501,-1.41405871657348
"R.S.6 Malate, 0.3%_6",24.60640100372742,4.144832157896337,-1.5132279220059328
"R.S.6 D-Cellubiose, 0.3%_6",47.492244770113466,4.563549403662617,-1.679247052980007
"R.S.6 Allantoin, 0.2%_6",21.13871117447912,4.13892950314023,-1.5231594830773043
"R.S.6 D-Raffinose, 0.3%_6",14.210729535455366,3.4554072316852413,-1.2714717253271877
"R.S.6 N-Acetyl-D-Glucosamine, 0.2%_6",10.771471447997156,3.0175001119747633,-1.1111933614213827
"R.S.6 D-Fructose, 0.3%_6",27.798447038235196,4.386380689135807,-1.614591559354228
"R.S.6 D-Xylose, 0.3%_6",22.232037582594288,4.236287835508862,-1.5576486822368163
"R.S.6 Citrate, 0.3%_6",20.85585170298651,3.857407731771374,-1.4121000086501965
"R.S.6 Adonitol, 0.3%_6",24.017190412253772,4.171277614833098,-1.5345829693571014
"R.S.6 D-Glutamate, 0.2%_6",12.235477491668666,3.2407317410704914,-1.1302023595744946
"R.S.6 L-Arginine, 0.2%_6",39.278971777203,4.8493056701320745,-1.7849573289386982
"R.S.6 Lactate, 0.3%_6",44.38104316200436,5.586903179404108,-2.056049068228617
"R.S.6 L-Alanine, 0.3%_6",18.083874929790213,3.7675989360555855,-1.0227768112300508
"R.S.6 Sucrose, 0.3%_6",40.91845003633541,4.2322497590727925,-1.5572572656056674
"R.S.6 D-Glucose, 0.3%_6",45.58744841988097,3.9551164075359875,-1.4534585109153624
"R.S.6 Adenosine, 0.2%.1_6",48.29871390533928,4.190381889115855,-1.5417267804067656
D Glucose 6 PO4_10,164.2467030764412,6.259802778018391,-2.30261188223793
Adenosine_10,0.2090714332816557,3.6283203081407324e-78,537.7318952447536
D Glucose_10,69.97802984202096,4.407808366133156,-1.50035333308054
Cytidine_10,74.09513738191399,4.385685150540069,-1.5934946876007727
D Ribose_10,59.60306135552271,5.55994938538537,-2.043141718913808
D- Trehalose_10,56.53344850677129,5.238307999763124,-1.9274235372052861
Inosine_10,23.091381479916457,4.875682262809822,-1.8034137783373714
Glycerol_10,13.844903163469155,3.854887903701999,-1.424504239354543
L Glutathione_10,1.8751972303381763,3.144207964115379e-10,61.370312547072594
D Fructose_10,74.4165368432082,5.9538723222650844,-2.1916710143689575
D Serine_10,44.028098854974516,6.099711067519983,-2.242164096023804
Alpha D Melebiose_10,62.21895125818459,5.699637304211762,-2.093676395464129
"R.S.12 Lactulose, 0.3%_12",3.988181357025441,1.540442570185137,0.31064236853019356
"R.S.12 Glycerol, 0.3%_12",80.2258224918318,5.759364544155494,-2.1195368302657216
"R.S.12 Myo-Inositol, 0.3%_12",41.20431682162855,5.764508634239862,-2.1242164217940878
"R.S.12 D-Galactose, 0.3%_12",81.792449080295,4.915770590568926,-1.8086283377263266
"R.S.12 Dulcitol, 0.3%_12",18.812639275036123,2.392392574260775,-0.5256654666304201
"R.S.12 Alpha-D-Glucose, 0.3%_12",54.44572171722015,3.5779045143416974,-1.2567057603919611
"R.S.12 D-Fructose, 0.3%_12",43.138251987643415,3.2917914782761883,-1.0570732747980442
"R.S.12 Citrate, 0.3%_12",16.347161619459133,4.593178688160837,-1.6895038732638774
"R.S.12 D-Mannose, 0.3%_12",31.60310663082358,3.709738858909151,-1.3122388507348595
"R.S.12 D-Salicin, 0.3%_12",90.59838746643958,5.5284616158957265,-2.034194569412369
"R.S.12 D-Cellubiose, 0.3%_12",33.26979562924104,3.090532878168922,-1.029892763843252
"R.S.12 Adonitol, 0.3%_12",23.443241213193474,4.598747456717567,-1.666526968569696
"R.S.12 D-Glucose-6-phosphate, 0.3%_12",79.79206943013529,4.443222173285852,-1.6346898627286666
"R.S.12 D-Arabitol, 0.3%_12",47.96369383675225,5.097749882573452,-1.876062813649357
"R.S.12 D-Trehalose, 0.3%_12",45.98860767881017,3.305065051291371,-1.116627757819949
"R.S.12 L-Arabinose, 0.3%_12",97.55319156470047,4.921552232560969,-1.8106814415519812
"R.S.12 D-Ribose, 0.3%_12",23.246359838618357,4.867494662322064,-1.7831861954072399
"R.S.12 Alpha-D-Melebiose, 0.3%_12",97.2456657766838,4.662891269479825,-1.7154955605307531
"R.S.12 L-Fucose, 0.3%_12",28.439049724221725,4.882201188883695,-1.7939890422770728
"R.S.12 Inosine, 0.3%_12",17.512844276647584,3.7236057799290174,-1.272130157244087
"R.S.12 Sucrose, 0.3%_12",125.64481024747076,4.641594041511101,-1.7075877933748724
"R.S.12 D-Xylose, 0.3%_12",18.712350004135327,4.530981225760343,-1.6690409129219592
"R.S.12 Alpha-D-Lactose, 0.3%_12",46.00776833091422,3.419273073826434,-1.183969654104187
"R.S.12 D-Raffinose, 0.3%_12",10.040062480554836,3.7654860009060447,-1.3875931058169901
"R.S.12 L-Glutamine, 0.3%_12",36.35715280991181,5.9213338326778535,-2.1814846972584974
"R.S.12 L-Rhamnose, 0.3%_12",60.60664853125203,5.579000070445781,-2.0536993296452337
"R.S.12 D-Glucosamine, 0.3%_12",53.00429015280255,4.756945473028292,-1.75044960991189
"R.S.12 D-Glutamate, 0.2%_12",8.784177674532865,4.1020684685136555,-1.5064027437966965
"R.S.12 Cytidine, 0.3%_12",51.875845619653326,3.943123932972795,-1.450704291377895
"R.S.12 Adenosine, 0.2%.1_12",54.5209135214539,4.736149847898229,-1.7427221507131025
"R.S.12 L-Arginine, 0.2%_12",70.62160532504375,6.263160540224855,-2.3054146784601235
"R.S.12 Guanidine, 0.3%_12",16.979210079100756,4.480771799389669,-1.651808966296658
"R.S.12 L-Glutathione, 0.2%_12",0.15699720821737376,3.515346767866533e-226,1417.0822987250465
"R.S.12 Allantoin, 0.2%_12",49.78481564920217,4.598374935089519,-1.6920474404941677
"R.S.12 Cytosine, 0.2%_12",67.29742303311055,4.598502229812044,-1.691914408259421
R.S.18 D-Mannose_18,1.7134190700421537,0.0006316787319397564,12.075064496959271
R.S.18 Thymine_18,56.960879223719424,6.067857109898611,-2.231960642005323
R.S.18 Citrate_18,32.144480470782156,4.752568922031862,-1.7522501749992525
R.S.18 Thiourea_18,62.52362329279048,6.249702245889191,-2.3003228385175065
R.S.18 D-Glucose_18,26.91483017430129,4.163862408034034,-1.532955339887118
R.S.18 Thymidine_18,45.69450107897437,5.8076603312051605,-2.14005079235073
R.S.18 L-Pyro-Glutamate.1_18,14.68585919350953,4.328468922505206,-1.597718643829443
R.S.18 Biuret_18,62.138139554767,6.129025869678474,-2.2566049892634763
R.S.18 Inosine_18,74.11884333005621,6.470071675870958,-2.382253640364448
R.S.18 Sucrose_18,24.23269331443702,4.696407929131632,-1.729826739428762
R.S.18 Nitrogen Neg. Control_18,42.382430038911174,4.818736257240962,-1.7671602771452817
R.S.18 Glycerol_18,36.93186873454889,5.459111436927857,-2.0115984359154466
R.S.18 Alpha-D-Glucose_18,17.471485910410447,4.37071789969376,-1.611911889025524
R.S.18 L-Aspartate_18,30.814754870643718,5.372251265684876,-1.9788524223712842
R.S.19 Allantoin_19,29.277967326743735,5.438698699070272,-2.006507819752604
R.S.19 Thymine_19,18.017604906649694,4.475969877737014,-1.5983084555478677
R.S.19 D-Glucose_19,7.976605180282866,2.8041849957348544,-1.0244953412971856
R.S.19 Guanidine_19,1.0959142400873318,0.005790489964821613,12.006302996807367
R.S.19 Cytidine_19,5.169755218908345,2.380872558005583,-0.8704617425545551
R.S.19 Nitrogen Neg. Control_19,20.822194837263112,4.551090026478937,-1.661510932899051
R.S.19 Alpha-D-Glucose_19,7.999912008492729,2.8799267388334564,-1.0597266031485115
