Dataset,r,c1,c2
D Galactose_10,0.04810281544033297,-1692.247444030108,-2.2901379142469555e-264
Alpha D Glucose_10,0.022752268114380973,-67446.28781630662,6.6804508270111105e-233
Adenine_10,0.062275837378549165,-82567.82443456393,-3.8955509900093114e+198
D Glucosamine_10,0.05715755182098909,-9788.372308381722,1.9458378784069997e-307
L Arginine_10,0.015049088820849363,-458.0766457372161,2.5816057954553343e+67
N- acetyl D Glucosamine_10,-81.8626303107341,-3.7060194769432973,10.619303706939693
D Mannose_10,0.0730121202478558,1238.3054594104385,2.77623672077665e-309
L Arabinose_10,0.007122680617608285,-688.791278597286,1.4877240149748102e+110
D Xylose_10,104.02541409442027,-2.179076021806662,5.892440207199192
Adenosine.1_10,0.010506968186579643,-646.3402596954558,2.497838998094199e+112
Lactate_10,-6.706076785748086,-2.004631935499254,5.050904884697899
R.S.18 D-Serine_18,0.011261046905020052,-303.74609562721054,2.784190191550471e+49
R.S.18 Histamine_18,-3.6942536511604325,-1.5607819179169675,3.769448297853414
R.S.18 Guanidine_18,0.004960566175853224,-300.99421397546797,2.612452543666538e+42
R.S.18 Sodium Succinate_18,-14.049819250414517,-1.9641295119735747,5.097991194516787
R.S.18 L-Glutathione_18,-2.237639174428615e-05,-52.03622086850021,3157255981.340083
R.S.18 L-Histidine_18,0.021662276978164308,-562.3671423325021,2.417211539165964e+113
R.S.18 Cytidine_18,-5.291422173050528,-1.1862130475135528,3.019820903583916
R.S.18 Cytosine_18,-0.0006205999062647206,15.407274694724439,2.103775376895917e-08
R.S.18 L-Arginine_18,0.011090780991358127,-47.35670239128077,1964660.4729236644
R.S.18 Sodium Pyruvate_18,0.006693809057536617,-452.19013110256356,1.1659385654344763e+80
R.S.18 D-Salicin_18,-0.01523505650570229,-33.60415917600138,47408.55037708612
R.S.18 Adenosine_18,-0.00025574945230039066,-108.72954136330537,534708684219474.4
R.S.18 Adenosine.1_18,0.018385683490048908,-115.10433792366368,1.344025653489987e+19
R.S.18 D-Fructose_18,0.1092950412993382,-48937.67897197317,-198.61403000912554
R.S.19 Glycine.1_19,28.987780861539548,-1.4710701957690786,3.9645573717721216
R.S.19 L-Pyro-Glutamate.1_19,-0.49723420505912075,-3.965146317895987,24.627121726520897
R.S.19 Thiourea_19,0.06200539800215142,246.85084227223004,6.09382595153026e-08
R.S.19 L-Glutathione_19,0.12683835027825482,10.342724515843033,0.0592154700703902
R.S.19 Histamine_19,5.85138471293268,-1.0555703760692987,2.967010538987405
R.S.19 L-Arginine_19,0.032733878331998055,-10736784.767500546,1.4175783954488643e-305
